,MapDate,ValidStart,ValidEnd,Week
333,2018-05-15,2018-05-15,2018-05-21,333
334,2018-05-22,2018-05-22,2018-05-28,334
335,2018-05-29,2018-05-29,2018-06-04,335
336,2018-06-05,2018-06-05,2018-06-11,336
337,2018-06-12,2018-06-12,2018-06-18,337
338,2018-06-19,2018-06-19,2018-06-25,338
339,2018-06-26,2018-06-26,2018-07-02,339
340,2018-07-03,2018-07-03,2018-07-09,340
341,2018-07-10,2018-07-10,2018-07-16,341
342,2018-07-17,2018-07-17,2018-07-23,342
343,2018-07-24,2018-07-24,2018-07-30,343
344,2018-07-31,2018-07-31,2018-08-06,344
345,2018-08-07,2018-08-07,2018-08-13,345
346,2018-08-14,2018-08-14,2018-08-20,346
347,2018-08-21,2018-08-21,2018-08-27,347
348,2018-08-28,2018-08-28,2018-09-03,348
349,2018-09-04,2018-09-04,2018-09-10,349
350,2018-09-11,2018-09-11,2018-09-17,350
351,2018-09-18,2018-09-18,2018-09-24,351
352,2018-09-25,2018-09-25,2018-10-01,352
353,2018-10-02,2018-10-02,2018-10-08,353
354,2018-10-09,2018-10-09,2018-10-15,354
355,2018-10-16,2018-10-16,2018-10-22,355
356,2018-10-23,2018-10-23,2018-10-29,356
357,2018-10-30,2018-10-30,2018-11-05,357
358,2018-11-06,2018-11-06,2018-11-12,358
359,2018-11-13,2018-11-13,2018-11-19,359
360,2018-11-20,2018-11-20,2018-11-26,360
361,2018-11-27,2018-11-27,2018-12-03,361
362,2018-12-04,2018-12-04,2018-12-10,362
363,2018-12-11,2018-12-11,2018-12-17,363
364,2018-12-18,2018-12-18,2018-12-24,364
365,2018-12-25,2018-12-25,2018-12-31,365
366,2019-01-01,2019-01-01,2019-01-07,366
367,2019-01-08,2019-01-08,2019-01-14,367
368,2019-01-15,2019-01-15,2019-01-21,368
369,2019-01-22,2019-01-22,2019-01-28,369
370,2019-01-29,2019-01-29,2019-02-04,370
371,2019-02-05,2019-02-05,2019-02-11,371
372,2019-02-12,2019-02-12,2019-02-18,372
373,2019-02-19,2019-02-19,2019-02-25,373
374,2019-02-26,2019-02-26,2019-03-04,374
375,2019-03-05,2019-03-05,2019-03-11,375
376,2019-03-12,2019-03-12,2019-03-18,376
377,2019-03-19,2019-03-19,2019-03-25,377
378,2019-03-26,2019-03-26,2019-04-01,378
379,2019-04-02,2019-04-02,2019-04-08,379
380,2019-04-09,2019-04-09,2019-04-15,380
381,2019-04-16,2019-04-16,2019-04-22,381
382,2019-04-23,2019-04-23,2019-04-29,382
383,2019-04-30,2019-04-30,2019-05-06,383
384,2019-05-07,2019-05-07,2019-05-13,384
385,2019-05-14,2019-05-14,2019-05-20,385
386,2019-05-21,2019-05-21,2019-05-27,386
387,2019-05-28,2019-05-28,2019-06-03,387
388,2019-06-04,2019-06-04,2019-06-10,388
389,2019-06-11,2019-06-11,2019-06-17,389
390,2019-06-18,2019-06-18,2019-06-24,390
391,2019-06-25,2019-06-25,2019-07-01,391
392,2019-07-02,2019-07-02,2019-07-08,392
393,2019-07-09,2019-07-09,2019-07-15,393
394,2019-07-16,2019-07-16,2019-07-22,394
395,2019-07-23,2019-07-23,2019-07-29,395
396,2019-07-30,2019-07-30,2019-08-05,396
397,2019-08-06,2019-08-06,2019-08-12,397
398,2019-08-13,2019-08-13,2019-08-19,398
399,2019-08-20,2019-08-20,2019-08-26,399
400,2019-08-27,2019-08-27,2019-09-02,400
401,2019-09-03,2019-09-03,2019-09-09,401
402,2019-09-10,2019-09-10,2019-09-16,402
403,2019-09-17,2019-09-17,2019-09-23,403
404,2019-09-24,2019-09-24,2019-09-30,404
405,2019-10-01,2019-10-01,2019-10-07,405
406,2019-10-08,2019-10-08,2019-10-14,406
407,2019-10-15,2019-10-15,2019-10-21,407
408,2019-10-22,2019-10-22,2019-10-28,408
409,2019-10-29,2019-10-29,2019-11-04,409
410,2019-11-05,2019-11-05,2019-11-11,410
411,2019-11-12,2019-11-12,2019-11-18,411
412,2019-11-19,2019-11-19,2019-11-25,412
413,2019-11-26,2019-11-26,2019-12-02,413
414,2019-12-03,2019-12-03,2019-12-09,414
415,2019-12-10,2019-12-10,2019-12-16,415
416,2019-12-17,2019-12-17,2019-12-23,416
417,2019-12-24,2019-12-24,2019-12-30,417
418,2019-12-31,2019-12-31,2020-01-06,418
419,2020-01-07,2020-01-07,2020-01-13,419
420,2020-01-14,2020-01-14,2020-01-20,420
421,2020-01-21,2020-01-21,2020-01-27,421
422,2020-01-28,2020-01-28,2020-02-03,422
423,2020-02-04,2020-02-04,2020-02-10,423
424,2020-02-11,2020-02-11,2020-02-17,424
425,2020-02-18,2020-02-18,2020-02-24,425
426,2020-02-25,2020-02-25,2020-03-02,426
427,2020-03-03,2020-03-03,2020-03-09,427
428,2020-03-10,2020-03-10,2020-03-16,428
429,2020-03-17,2020-03-17,2020-03-23,429
430,2020-03-24,2020-03-24,2020-03-30,430
431,2020-03-31,2020-03-31,2020-04-06,431
432,2020-04-07,2020-04-07,2020-04-13,432
433,2020-04-14,2020-04-14,2020-04-20,433
434,2020-04-21,2020-04-21,2020-04-27,434
435,2020-04-28,2020-04-28,2020-05-04,435
436,2020-05-05,2020-05-05,2020-05-11,436
437,2020-05-12,2020-05-12,2020-05-18,437
438,2020-05-19,2020-05-19,2020-05-25,438
439,2020-05-26,2020-05-26,2020-06-01,439
440,2020-06-02,2020-06-02,2020-06-08,440
441,2020-06-09,2020-06-09,2020-06-15,441
442,2020-06-16,2020-06-16,2020-06-22,442
443,2020-06-23,2020-06-23,2020-06-29,443
444,2020-06-30,2020-06-30,2020-07-06,444
445,2020-07-07,2020-07-07,2020-07-13,445
446,2020-07-14,2020-07-14,2020-07-20,446
447,2020-07-21,2020-07-21,2020-07-27,447
448,2020-07-28,2020-07-28,2020-08-03,448
449,2020-08-04,2020-08-04,2020-08-10,449
450,2020-08-11,2020-08-11,2020-08-17,450
451,2020-08-18,2020-08-18,2020-08-24,451
452,2020-08-25,2020-08-25,2020-08-31,452
453,2020-09-01,2020-09-01,2020-09-07,453
454,2020-09-08,2020-09-08,2020-09-14,454
455,2020-09-15,2020-09-15,2020-09-21,455
456,2020-09-22,2020-09-22,2020-09-28,456
457,2020-09-29,2020-09-29,2020-10-05,457
458,2020-10-06,2020-10-06,2020-10-12,458
459,2020-10-13,2020-10-13,2020-10-19,459
460,2020-10-20,2020-10-20,2020-10-26,460
461,2020-10-27,2020-10-27,2020-11-02,461
462,2020-11-03,2020-11-03,2020-11-09,462
463,2020-11-10,2020-11-10,2020-11-16,463
464,2020-11-17,2020-11-17,2020-11-23,464
465,2020-11-24,2020-11-24,2020-11-30,465
466,2020-12-01,2020-12-01,2020-12-07,466
467,2020-12-08,2020-12-08,2020-12-14,467
468,2020-12-15,2020-12-15,2020-12-21,468
469,2020-12-22,2020-12-22,2020-12-28,469
470,2020-12-29,2020-12-29,2021-01-04,470
471,2021-01-05,2021-01-05,2021-01-11,471
472,2021-01-12,2021-01-12,2021-01-18,472
473,2021-01-19,2021-01-19,2021-01-25,473
474,2021-01-26,2021-01-26,2021-02-01,474
475,2021-02-02,2021-02-02,2021-02-08,475
476,2021-02-09,2021-02-09,2021-02-15,476
477,2021-02-16,2021-02-16,2021-02-22,477
478,2021-02-23,2021-02-23,2021-03-01,478
479,2021-03-02,2021-03-02,2021-03-08,479
480,2021-03-09,2021-03-09,2021-03-15,480
481,2021-03-16,2021-03-16,2021-03-22,481
482,2021-03-23,2021-03-23,2021-03-29,482
483,2021-03-30,2021-03-30,2021-04-05,483
484,2021-04-06,2021-04-06,2021-04-12,484
485,2021-04-13,2021-04-13,2021-04-19,485
486,2021-04-20,2021-04-20,2021-04-26,486
487,2021-04-27,2021-04-27,2021-05-03,487
488,2021-05-04,2021-05-04,2021-05-10,488
489,2021-05-11,2021-05-11,2021-05-17,489
490,2021-05-18,2021-05-18,2021-05-24,490
491,2021-05-25,2021-05-25,2021-05-31,491
492,2021-06-01,2021-06-01,2021-06-07,492
493,2021-06-08,2021-06-08,2021-06-14,493
494,2021-06-15,2021-06-15,2021-06-21,494
495,2021-06-22,2021-06-22,2021-06-28,495
496,2021-06-29,2021-06-29,2021-07-05,496
497,2021-07-06,2021-07-06,2021-07-12,497
498,2021-07-13,2021-07-13,2021-07-19,498
499,2021-07-20,2021-07-20,2021-07-26,499
500,2021-07-27,2021-07-27,2021-08-02,500
501,2021-08-03,2021-08-03,2021-08-09,501
502,2021-08-10,2021-08-10,2021-08-16,502
503,2021-08-17,2021-08-17,2021-08-23,503
504,2021-08-24,2021-08-24,2021-08-30,504
505,2021-08-31,2021-08-31,2021-09-06,505
506,2021-09-07,2021-09-07,2021-09-13,506
507,2021-09-14,2021-09-14,2021-09-20,507
508,2021-09-21,2021-09-21,2021-09-27,508
509,2021-09-28,2021-09-28,2021-10-04,509
510,2021-10-05,2021-10-05,2021-10-11,510
511,2021-10-12,2021-10-12,2021-10-18,511
512,2021-10-19,2021-10-19,2021-10-25,512
513,2021-10-26,2021-10-26,2021-11-01,513
514,2021-11-02,2021-11-02,2021-11-08,514
515,2021-11-09,2021-11-09,2021-11-15,515
516,2021-11-16,2021-11-16,2021-11-22,516
517,2021-11-23,2021-11-23,2021-11-29,517
518,2021-11-30,2021-11-30,2021-12-06,518
519,2021-12-07,2021-12-07,2021-12-13,519
520,2021-12-14,2021-12-14,2021-12-20,520
521,2021-12-21,2021-12-21,2021-12-27,521
522,2021-12-28,2021-12-28,2022-01-03,522
523,2022-01-04,2022-01-04,2022-01-10,523
524,2022-01-11,2022-01-11,2022-01-17,524
525,2022-01-18,2022-01-18,2022-01-24,525
526,2022-01-25,2022-01-25,2022-01-31,526
527,2022-02-01,2022-02-01,2022-02-07,527
528,2022-02-08,2022-02-08,2022-02-14,528
529,2022-02-15,2022-02-15,2022-02-21,529
530,2022-02-22,2022-02-22,2022-02-28,530
